Nombre De La Finca,Dpto,Municipio,Corregimiento,Vereda/Sector,Area (Has),Altura M.S.N.M.,T (°C),Pp (Mm/Año),Tipo Suelo,Pendiente,Nivel Tecnlogico,Tenencia del predio,Agua Propia, Acueducto,Energ Electrica,Gas Natural,E Internet,Analisis De Suelos,Cultivo,Variedad,Area Cultivada (Has),Produccion (Kg),% Al Mercado,Forma Venta,Sitio Venta,Forma Pago,Participacion En Produccion,Especie,Raza,Numero,Produccion,Participacion Produccion,Tipo Organización,Nombre De La Organización,Longitud (W),Latitud (N)
La Campesina 1,Valle,Palmira,Rozo,La Marina,1,961,25,1.200,Frl,Plano,Medio,Propio,si,no,si,si,si,no,Plátano,D. Artón,"0,6",4.250,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,382255","3,591785"
El Vergel,Valle,Palmira,Rozo,La Virginia,"1,12",976,25,1.200,Frl,Plano,Bajo,Propio,si,no,si,si,si,no,Plátano,D. Artón,"0,6",2.700,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,380947","3,610071"
El Rinconcito,Valle,Palmira,Rozo,La Virginia,"0,6",978,25,1.200,Frl,Plano,Bajo,Propio,si,no,si,si,si,no,Plátano,D. Artón,"0,5",2.550,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,37963","3,611912"
El Paraíso,Valle,Palmira,Rozo,La Virginia,"0,6",978,25,1.200,Frl,Plano,Bajo,Propio,si,no,si,si,si,no,Plátano,D. Artón,"0,5",2.200,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,380943","3,611938"
La Quimera,Valle,Palmira,Rozo,Callejón Jovino,"1,28",957,25,1.200,Frl,Plano,Bajo,Propio,si,no,si,no,no,no,Plátano,D. Artón,"0,8",2.580,100%,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,392085","3,612527"
Campo Alegre,Valle,Palmira,Rozo,La Torre,"1,28",965,25,1.200,Frl,Plano,Bajo,Propio,si,no,si,si,si,no,Plátano,D. Artón,1,6.450,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,402672","3,618123"
Las Vergara,Valle,Palmira,Rozo,La Torre,"1,6",950,25,1.200,Frl,Plano,Bajo,Propio,si,no,si,si,si,no,Plátano,D. Artón,"0,6",2.700,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,410378","3,621897"
La Casita,Valle,Palmira,Rozo,La Virginia,"1,6",960,25,1.200,Frl,Plano,Bajo,Propio,si,no,si,si,si,no,Plátano,D. Artón,"0,5",2.200,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,380583","3,614482"
Villa Matilde,Valle,Palmira,Rozo,La Reforma,1,953,25,1.200,Frl,Plano,Bajo,Propio,si,no,si,si,si,no,Plátano,D. Artón,"0,5",2.600,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,377993","3,596017"
Ensueños 3,Valle,Palmira,Bolo San Isidro,La Trocha,4,972,24,1.200,FrAr,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"1,3",0,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,340088","3,472357"
La Unión 2,Valle,Palmira,Rozo,La Virginia,2,964,25,1.200,Frl,Plano,Bajo,Propio,si,no,no,no,no,no,Plátano,D. Artón,1,1.200,100%,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,379165","3,615725"
La Marina ,Valle,Palmira,Rozo,Callejon La Marina,"1,8",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Ica305,1,5000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39903","3,61342"
La Acequia ,Valle,Palmira,Rozo,Callejon Los Rojas ,"2,56",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"1,28",13000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,401386","3,633065"
Callejon Tienda Nueva-La Torre,Valle,Palmira,Rozo,Callejon Tienda Nueva-La Torre,"2,5",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer ,2,15000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40671","3,61708"
Callejon Tienda Nueva-La Torre,Valle,Palmira,Rozo,Callejon Tienda Nueva-La Torre,"0,2",?,?,?,?,?,?,?,?,?,?,?,?,?,Tomate,Libertador,"0,1",5000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40643","3,61985"
Finca el Esfuerzo ,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,1,7500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40713","3,62954"
Calle 7 Casa 17-272,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,"0,64",?,?,?,?,?,?,?,?,?,?,?,?,?,Cilantro/Maiz,Precoz/Pioneer ,"0,64",2000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40722","3,62871"
Calle7 Casa 17-160,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,"0,64",?,?,?,?,?,?,?,?,?,?,?,?,?,Cilantro/Maiz,Precoz/Pioneer ,"0,64",2000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40766","3,62768"
Callejon Vergara- La Torre,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,"0,5",?,?,?,?,?,?,?,?,?,?,?,?,?,Cilantro/Maiz,Precoz/Pioneer ,"0,5",1500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40821","3,63025"
Callejon Vergara- La Torre,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,"0,5",?,?,?,?,?,?,?,?,?,?,?,?,?,Cilantro/Maiz,Precoz/Pioneer ,"0,5",1500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40768","3,62791"
Callejon Vergara- La Torre,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,"0,64",?,?,?,?,?,?,?,?,?,?,?,?,?,Cilantro/Maiz,Precoz/Pioneer ,"0,64",2000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40832","3,6321"
Callejon Vergara- La Torre,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,"0,5",?,?,?,?,?,?,?,?,?,?,?,?,?,Cilantro/Maiz,Precoz/Pioneer ,"0,5",1500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,4071","3,63014"
Callejon Triviño-La Torre ,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,"1,1",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"0,64",5000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,4072","3,62001"
Callejon Triviño-La Torre ,Valle,Palmira,Rozo,Callejon Vergara Sanchez ,"1,5",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,1,6600,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40652","3,61907"
Enseguida del Colegio La Rogelio ,Valle,Palmira,Rozo,Callejon Villa Lenis,"2,4",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"1,6",12500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,385092","3,61053"
Finca los Reyes,Valle,Palmira,Rozo,Callejon Villa Lenis,"0,5",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"0,3",2500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,385981","3,610455"
Callejon los Lenis,Valle,Palmira,Rozo,Callejon Villa Lenis,"0,4",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"0,4",2500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39228","3,61576"
Callejon los Lenis,Valle,Palmira,Rozo,Callejon Villa Lenis,"2,4",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"1,6",12500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,385081","3,61052"
Callejon los Lenis Casa 8-121,Valle,Palmira,Rozo,Callejon Villa Lenis,"0,1",?,?,?,?,?,?,?,?,?,?,?,?,?,Tomate,Libertador,"0,1",3200,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,384493","3,607482"
Enseguida del Colegio La Rogelio ,Valle,Palmira,Rozo,Callejon Villa Lenis,2,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"1,28",8000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39789","3,63678"
El Jardin Car 4 Av9 Casa9-161 ,Valle,Palmira,Rozo,El Jardin ,"0,2",?,?,?,?,?,?,?,?,?,?,?,?,?,Tomate,Libertador,"0,1",4800,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,38216","3,59111"
Sector El Chaparral,Valle,Palmira,Rozo,La Acequia,"2,4",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"0,64",5300,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,400345","3,637121"
Avenida 1Nº4-188,Valle,Palmira,Rozo,La Acequia,"0,96",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"0,96",6000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Junta de Accion Comunal ,La Acequia ,"-76,38827","3,62427"
Finca La Barcelona ,Valle,Palmira,Rozo,La Acequia,"2,56",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"1,28",10000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,3922","3,63105"
La Acequia Casa16-026 ,Valle,Palmira,Rozo,La Acequia,2,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"1,28",12500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39601","3,63585"
Callejon La Iglesia ,Valle,Palmira,Rozo,La Acequia,2,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"1,28",8000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39789","3,63676"
Sector la Reforma ,Valle,Palmira,Rozo,La Reforma,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Batata,Criolla,"0,32",8000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,379128","3,599277"
Sector la Reforma ,Valle,Palmira,Rozo,La Reforma,"1,6",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"0,64",3650,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,37812","3,59928"
Enseguida del Colegio La Rogelio ,Valle,Palmira,Rozo,La Rogelio,"0,4",?,?,?,?,?,?,?,?,?,?,?,?,?,Tomate,Robles,"0,4",12000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,386381","3,611661"
Frente de Promedico ,Valle,Palmira,Rozo,La Torre,"0,64",?,?,?,?,?,?,?,?,?,?,?,?,?,Cebolla,Campolindo,"0,3",7500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40617","3,6291"
La Union -Callejon Dimas,Valle,Palmira,Rozo,La Union -Callejon Dimas,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,1430,"0,64",5000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39806","3,61957"
La Union -Callejon Dimas,Valle,Palmira,Rozo,La Union -Callejon Dimas,2,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,1430,2,15000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39801","3,62002"
La Union -Callejon Dimas,Valle,Palmira,Rozo,La Union -Callejon Dimas,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,1430,"0,5",2500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39821","3,61961"
La Union -Callejon Dimas,Valle,Palmira,Rozo,La Union -Callejon Dimas,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,1430,"0,5",2500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,3974","3,61571"
La Union -Callejon Dimas,Valle,Palmira,Rozo,La Union -Callejon Dimas,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Frijol ,Calima ,"0,64",1000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39722","3,62323"
La Union -Callejon Dimas,Valle,Palmira,Rozo,La Union -Callejon Dimas,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,1430,"0,5",2500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39585","3,62584"
La Union -Callejon Dimas,Valle,Palmira,Rozo,La Union -Callejon Dimas,no,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,1430,1,5000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,4072","3,61957"
Finca el Aguacatal,Valle,Palmira,Rozo,Sector Chaco Verde,"0,64",?,?,?,?,?,?,?,?,?,?,?,?,?,Cilantro/Maiz,Pioneer /Cilantro,"0,64",4000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,375326","3,598622"
El Silencio ,Valle,Palmira,Rozo,Sector la Acequia ,"4,48",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"1,28",13000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,400827","3,633168"
Avenida9 Casa 2-139,Valle,Palmira,Rozo,Sector la Trocha,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"0,96",9750,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,38775","3,6318"
Avenida9 Calle5 Nº 9-258,Valle,Palmira,Rozo,Sector La Trocha Callejon Los Leones,"1,28",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pioneer,"9,6",1500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,390725","3,624387"
Casa 8-46,Valle,Palmira,Rozo,Sector la Trocha Callejon Los Torcazos,"2,56",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"2,56",16000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,38721","3,62357"
Casa 02,Valle,Palmira,Rozo,Sector la Trocha Callejon Los Torcazos,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,1,8000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,3872","3,62427"
Casa8-46,Valle,Palmira,Rozo,Sector la Trocha Callejon Los Torcazos,"0,64",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"0,64",4000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,38635","3,62213"
Los Aparicios ,Valle,Palmira,Rozo,Sector la Trocha- Zanja Onda ,"4,48",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"0,64",6500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,402121","3,637047"
Aparicios,Valle,Palmira,Rozo,Sector Zanja Onda Callejon Aparicios,2,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,1430,"1,28",16000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,39125","3,62825"
La Veranera Av9Nº 5-43,Valle,Palmira,Rozo,Sector la Trocha ,"0,96",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"1,5",7500,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,388874","3,623845"
Casa 8-46,Valle,Palmira,Rozo,Sector la Trocha Callejon Los Torcazos,"2,56",?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Pionner ,"2,56",16000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,38721","3,62357"
Callejon Gonzalez,Valle,Palmira,Rozo,Callejon Gonzalez,"0,4",?,?,?,?,?,?,?,?,?,?,?,?,?,Tomate,Robles,"0,4",12000,99,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,38721","3,61274"
La Torre,Valle,Palmira,Rozo,Callejon Los Sanchez,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Maiz,Semillas Valle,"0,64",6000,100,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,40733","3,628643"
La Reforma ,Valle,Palmira,Rozo,Callejon La Reforma ,"0,64",?,?,?,?,?,?,?,?,?,?,?,?,?,Pepino,Hibrido,"0,64",15000,100,Intermediario ,Finca,Efectivo/Credito,no,no,no,no,no,no,Ninguna ,no,"-76,37827","3,59462"
p. tolima,valle,palmira,toche,cabuyal,1,1.970,18,1200,franco,pendiente fuerte,bajo,arrendamiento,si,no,si,no,no,no,arveja,piquinegra,1,50000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,05976","3,622242"
la novillera,valle,palmira,toche,toche,2,1.600,20,1200,franco-arenoso,plano,medio,arrendamiento,si,no,si,no,no,no,cilantro,precoso,2,20000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,08709","3,62316"
la esperanza,valle,palmira,toche,cabuyal,1,1.920,19,1200,franco,pendiente fuerte,bajo,aparceria,si,no,si,no,no,no,cebolla cabezona,yellow granex,"0,64",20000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,10703","3,62642"
el pensil,valle,palmira,toche,cabuyal,2,1.870,18,1200,franco,ondulado,bajo,tenencia,si,no,si,no,no,no,habichuela,piquinegra,2,9000-1100,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,06754","3,62254"
la esperanza,valle,palmira,toche,cabuyal,1,1.910,19,1200,franco,plano,bajo,aparceria,si,no,si,no,no,no,cilantro,precoso,"0,64",1100-20000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,06874","3,626832"
la esperanza,valle,palmira,toche,cabuyal,1,1.900,19,1200,franco,plano,bajo,propietario,si,no,si,no,no,no,habichuela,piquinegra,"0,64",12800-5700,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,06919","3,62593"
el arado,valle,palmira,toche,cabuyal,1,1.770,20,1200,franco,plano,baja,propietario,si,no,si,no,no,no,cilantro,precoso,1,20000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,07617","3,62236"
la cancha,valle,palmira,toche,cabuyal,1,1.800,20,1200,franco,plano,bajo,arrendamiento,si,no,si,no,no,no,frijol,nima,"1,2",24000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,0715","3,6228"
mi ranchito,valle,palmira,toche,toche-la veranera,1,1.730,20,1200,franco ,plano,bajo,arrendamiento,si,no,si,no,no,no,repollo,glober master,"0,64",12800,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asotoche,"-76,08648","3,607863"
las canarias,valle,palmira,toche,toche-la veranera,1,1.790,20,1200,franco,pendiente fuerte,bajo,propietaria,si,no,si,no,no,no,cilantro,precoso,1,550-10000,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asotoche,"-76,0828","3,60075"
la lomita,valle,palmira,toche,toche-la veranera,1,1.760,20,1200,franco,pendiente fuerte,bajo,aparcero,si,no,si,no,no,no,perejil,no,"0,64",700,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,08471","3,60239"
la playa,valle,palmira,toche,toche-la veranera,1,1.720,20,1200,franco-arenoso,pendiente fuerte,bajo,propietario,si,no,si,no,no,no,frijol,nima,1,1100,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,08439","3,60352"
veranera,valle,palmira,toche,toche-la veranera,1,1.740,20,1200,franco,pendiente fuerte,bajo,arrendamiento,si,no,si,no,no,no,arveja,piquinegra,1,1100,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,08575","3,60472"
la parcela,valle,palmira,toche,toche-la veranera,1,1.720,20,1200,franco,plano,bajo,propietario,si,no,si,no,no,no,frijol,nima,"1,2",1320,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asotoche,"-76,08632","3,60821"
villa luz,valle,palmira,toche,toche-la veranera,1,1.690,20,1200,franco,pendiente fuerte,bajo,propietario,si,no,si,no,no,no,perejil,no,"0,5",2000,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asotoche,"-76,08601","3,61142"
bella vista,valle,palmira,toche,cabuyal,1,1.920,19,1200,franco,plano,bajo,propietario,si,no,si,no,no,no,cebolla cabezona,yellow granex,"1,2",600 kg-6000 kg,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,06989","3,62766"
la esperanza,valle,palmira,toche,cabuyal,1,1.890,19,1200,franco,plano,bajo,propietario,si,no,si,no,no,no,frijol,nima,"0,6",12000 kg,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,06865","3,62559"
la cosecha,valle,palmira,toche,cabuyal,1,1.870,19,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,cilantro,precoso,1,10000-10000,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,no,"-76,06565","3,62482"
moravia,valle,palmira,toche,cabuyal,2,1.870,19,1200,franco,plano,bajo,propietario,si,no,si,no,no,no,repollo,glober master,"1,5",150 bultos-15000,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,06769","3,62519"
vista hermosa,valle,palmira,toche,cabuyal,1,1.950,18,1200,franco,ondulado,bajo,propietario,si,no,si,no,no,no,repollo,glober master,"0,6",650kg,100%,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,0614","3,6225"
la camelia,valle,palmira,toche,cabuyal,1,1.870,19,1200,franco,ondulado,bajo,arrendamiento,si,no,si,no,no,no,cilantro,precoso,1,10000 kg,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,0734","3,62199"
sabanazo,valle,palmira,toche,cabuyal,1,1.880,19,1200,franco,plano,bajo,arrendamiento,si,no,si,no,no,no,repollo,glober master,1,10000 kg,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,07274","3,6216"
la cancha,valle,palmira,toche,cabuyal,1,1.700,20,1200,franco,plano,bajo,arrendamiento,si,no,si,no,no,no,frijol,nima,1,200 bultos,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,07772","3,628232"
la primavera,valle,palmira,toche,toche-la veranera,1,1.640,20,1200,franco,ondulado,bajo,arrendamiento,si,no,si,no,no,no,frijol,nima,1,20000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,08582","3,61631"
la esperanza,valle,palmira,toche,cabuyal,1,1.900,19,1200,franco,plano,bajo,propietaria,si,no,si,no,no,no,habichela,lago azul,"0,6",1500,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,06919","3,62593"
santa marta,valle,palmira,toche,teatino,2,1.820,19,1200,franco-arenoso,ondulado,bajo,propetario,si,no,si,no,no,no,repollo,glober master,2,20000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,06791","3,65295"
vista hermosa,valle,palmira,toche,cabuyal,1,1.940,19,1200,franco,ondulado,bajo,propietario,si,no,si,no,no,no,cebolla cabezona,bulbo,1,1500,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asocabuyal,"-76,06139","3,62243"
el reposo,valle,palmira,toche,teatino,1,1.750,20,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,cilantro,precoso,"0,64",10000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,07549","3,63961"
pedregal,valle,palmira,toche,teatino,1,1.720,20,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,frijol,nima,1,10000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,07704","3,63577"
los arangos,valle,palmira,toche,la veranera,1,1.650,20,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,cilantro,precoso,1,10000,100%,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asotoche,"-76,08731","3,62153"
teatino,valle,palmira,toche,teatino,1,1.760,20,1200,franco,plano,bajo,aparcero,si,no,si,no,no,no,frijol,nima,1,30000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,07449","3,64455"
los arrayanes,valle,palmira,toche,teatino,1,1.870,19,1200,franco-arenoso,plano,bajo,aparcero,si,no,si,no,no,no,cilantro,precoso,"1,2",34000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,06408","3,6573"
el fuerte,valle,palmira,toche,teatino,1,1.880,19,1200,franco-arenoso,plano,bajo,aparcero,si,no,si,no,no,no,frijol,cargamanto,"0,8",1200,100%,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,06512","3,65633"
el tenjo,valle,palmira,toche,el tenjo,1,1.500,21,1200,franco arenoso,plano,bajo,aparcero,si,no,si,no,no,no,repollo,glober master,"0,65",800,100%,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,1096","3,61629"
el tenjo,valle,palmira,toche,las salinas,1,1.500,21,1200,franco-arenoso,plano,bajo,aparcero,si,no,si,no,no,no,frijol,nima,"0,6",800,100%,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,10893","3,61819"
tienda nueva,valle,palmira,toche,la veranera,1,1.720,20,1200,franco,ondulado,bajo,propietario,si,no,si,no,no,no,repollo,glober master,"0,8",1000,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,08645","3,607865"
la primavera,valle,palmira,toche,la veranera,1,1.660,20,1200,franco,plano,bajo,arrendamiento,si,no,si,no,no,no,cilantro,precoso,"1,2",1400,100,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,08593","3,6131"
la primavera,valle,palmira,toche,la veranera,1,1.670,20,1200,franco,plano,bajo,arrendamiento,si,no,si,no,no,no,perejil,no,"0,6",5000,100%,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asotoche,"-76,08622","3,613"
el danubio,valle,palmira,toche,la veranera,1,1.760,20,1200,franco,ondulado,bajo,arrendamiento,si,no,si,no,no,no,frijol,nima,"0,9",1200,100,intermediario,finca,contado,no,no,no,no,no,no,Asociacion,asotoche,"-76,08308","3,60097"
los arrayanes,valle,palmira,toche,teatino,1,1.880,19,1200,franco-arenoso,plano,bajo,arrendamiento,si,no,si,no,no,no,repollo,glove-master,"0,6",20000,100%,intermediario,finca,contado,no,no,no,no,no,no,no,no,"-76,0641","3,65732"
